,movies,full_situation
318,"['movies', 'movie', 'Annabelle', 'director', 'Avatar', 'Deadpool 2', 'James Cameron', 'action', 'comedy']"," Do you like superhero movies? show me an older trailer Yeah, you will definitely like that option the cast of the movie is great, a lot of good actors So a great movie is Avatar, it came out in the year 2009 and the director is James Cameron. Yes I have and he is hilarious. Do you recommend any sci-fi movies? That sounds good. Do you recommend anything scary? Ok what about the new Fast and Furious movie, called Fast and Furious: Hobbs and Shaw Hello, I am here to help you select a great movie trailer what kind of movies do you like? I love both of the Deadpool movies. I accept those recommendations. Thanks, the leading actor is really funny have you heard of Ryan Reynolds before_ Yes of course, would you like recent movie trailer or older scif-fi movie trailers? Thanks. What else do you recommend? Yes, I like superhero movies. I like action and adventure movies. That sounds great. I accept your movie recommendation. I have a great option for you the, Deadpool 1 and Deadpool 2, great movie packed with action, adventure and comedy."
319,['Knives Out']," Hi there! How are you doing? Would you rather see a movie that came out recently, or are you open to a movie from any period? recent movie I've heard great things about it. What did you like the most about it? i love the fact that the movie is creating mental illness awareness ... do you have any recomendation for me to watch during the weekend ? Okay sounds good. And are there any specific movies or types of movies you really don't like? Sure - let me just get a little more information about your preferences. What genre of movie are you in the mood for? Great! Have you seen any good movies lately? just watch the joker great movie by the way hi there all good drama and comedy thrillers and fiction"
320,"['Love Actually', 'perfectly', 'The Stranger']"," Actually my mom just recommended that to me! Harlan Coban wrote that book and he is one of my favorite authors. My second favorite genre of movies is romantic comedies.. do you have an recommendations for that? Hello, My name is Danny. What is it? Hi! My name is Erin. Thank you so much for the recommendation! I'm looking forward to watching it! Yes, but I'm sure you have al ready seen it My favorite type of movie is mystery. I like where there is a big twist at the end. I also love ones if they are based off of books. Gone Girl is one example I really like. Do you have any recommendations in this genre? Perfect. I'm sure you'll like it. What kind of movies do you like? I'm not sure I have a good movie that could catch your interest, but right now on TV I'm watching a show call The Stranger that perfectly fit what you like. Ok great! I will try it! It does not show on the selection of movies that I'm suppouse to look It's really good. I'm sure it has all the things you look for and it has so many twists that you stay engaged all the time."
321,"['Today', 'action film', 'biographical film', 'Black Mass']"," I just watched Ford v Ferrari last week and I really enjoyed it. Had good acting and I thought it was an interesting story. Hello! How are you? And you mention war movies. Do you like the action aspect of war movies more, or the fact that it is real more? For example, do you also like action movies which are Marvel-based? Its hard to categorize it, but I would say Action or History. It tells a real story in the movie and the story is entertaining and exciting. There is some action involved. I guess I like true stories about people who did things that were amazing and adventurous. That sounds like an interesting film! What genre would you categorize this movie as? Is i your favorite genre? Hi there! Yeah they don't have to be war movies, but I do like those a lot as well. I am well, thanks for asking. Today I came to talk about your favorite movies as of recent times. What is your favorite movie that you've seen recently? I do like Marvel movies as well. I haven't seen all of them but I watch Iron Man, and Captain America and liked those movies quite a bit. I think I get more out of a movie that seems more real like a Saving Private Ryan but I also like to watch movies that are more fun and imaginative like Marvell as well. Oh, I see! So you like true stories, such as of historical figures of people who have accomplished notable things! I am trying to get the best picture of what makes you get on the edge of your seat when you watch."
322,"['Same Kind of Different as Me', 'John Wick', 'Before You Go']"," Nice, I like that. That seems like a good movie, I accept your recommendation. Thank you. Do you have another recommendation for me? That was a good one for drama. An action one would be nice as well. That's good. I like to watch thrilling action movies or dramatic movies. I haven't heard of that before, I'll go look up a trailer for it. The last movie I watched was The Bucket List. Do you have any recommendations for me? im good thanks. what types of movies you like? Same kind of Different as me. That looks interesting, what did you like about it? IP Man is good if you like karate movies I definitely like karate movies. I have seen IP Man, I enjoyed that one a lot. That actor that plays the main character is very talented. hi thanks you! Hi, how are you? there you go. nice. Whats the last movie you watched? has a good positive message. Be grateful"
323,"['movie', 'series', 'Back to the Future Part II']", good afternoon Hello! Do you have a movie recommendation?
324,"['Oscar', 'Gladiator', 'Barbarian Queen', 'Marlon Brando']"," Yes, I watched The King just the other night. Have you seen movies like Gladiator or The Last Legion? Have you watched any good movies lately? Great! What was that about? I just looked up more info about it, but I can't say I recommend it. It doesn't have a good rating. Let me check again for another. I thought so, but just wanted to be sure. Looking for one more for you... Hm, I'll have to add that one to the list too. Have you heard good things about it? Yes. That was a fantastic movie! Ok, good to know. Let me know when you have another one. Do you typically enjoy movies that have a historical perspective? 2007 About the fall of the Western Roman Empire. Directed by Dino De Lorentis (sp?) Another one, but this one I haven't seen. It's called Barbarian Queen. It's also about the Roman Empire. I loved Gladiator, but I haven't heard of The Last Legion. What is that about? Hello! Cool, thanks! Great! I will definitely check it out. Thank you for the recommendation! It was a dramatization of a few of Shakespeare's plays about King Henry the V of England. Yes, I generally do. I really like the ones set in either Roman or Medieval times. Just checking, and I assume you have seen it, but have you seen Gladiator? Loved it. That sounds like something I would enjoy. How did you like it?"
325,"['Friday the 13th', 'Supernatural', 'Monster', '30 Days of Night']"," I think I have a few suggestions. Give me one sec. What kind of Horror movie do you like: Supernatural, Monster, Serial Killer? I did. What was the last Horror movie that you loved? Oh nice I love Zombie movies too. Have you seen 28 Days Later? Do you like ones based on true stories or more like Halloween/Friday the 13th? I like both! Serial Killer. Ok. No problem. Good afternoon! The old horror movies like The hills have eyes or chainsaw massacre. The new horror movies are not that great. The last 2 scary movies that I watched were totally bad. They were IT and Jeepers Creepers. I also love Zombie movies! Good afternoon, I am looking for a Horror movie!"
326,"['Zachary Levi', 'High Incident']"," Hi, What type of movies do you like? oh nicee i would love to watch it this weekend Shazaam is a great movie that just was out in theatres and no on Redbox when is the movie released? where it is casted? has the movie won any award? hello there,what do you recommend? Do you like action comedies with superheros? Photography took place in Canada. What is your favorite comedy? It won a national film and television award in 2019 ok lets try i prefer comedies at this time i like Christmas comedies,especially those that are cast at Europe really ok I accept It was released this year. I think you'll love the heartwarming story of a teenage foster child who turns into a superhero!"
327,['A Fall from Grace']," good how are you im am looking for a movie with drama Hello, how are you doing tonight? I am doing well."
328,"['Carol', 'The Photograph']"," I would recommend The Photograph its a a love story of an African American love. And since we are in the love month it's perfect Hi, I am doing great! Yes! I know this might sound weird, but I really loved that they were able to make one last movie, being as though the others came out years ago. But I did find that it was extremely funny, and surprising that there was a son that was unknown on there. What did you like about it? You should, it will bring in a new perspective to how you view love stories What did you think about the movie? Lol! Exactly. What movie would you recommend me to see? I liked the fact that it talks about a lot of relationships from mother-daughter, health, friendships and dating I think that is something I would enjoy! I have heard people talk about it and wanted to see for myself. Thank you! I think I will see it this weekend. hello, how are you today? what genre of movies doy ou prefer? I like the fact that it manages to transcend its hoariest tropes. I like horror movies too, I like the adrenaline they bring. What is the latest movie you've watched That is interesting. Would you say that it is a different kind of love story, or something we have seen in other movies? Definitely different not the usual black love story Oh good! Then we definetely have something in common. The latest movie I seen was Bad Boys. What about you? I remember you said you like love stories right? Okay good. I normally feel skeptical when they are resulting in the same love stories. But you have brought a new light to my view I prefer horror movies and also comedy's. I also like love stories Me too, I love Will Smith. what did you like about it? Yes, That is correct"
329,"['Sausage Party', 'Inside Amy Schumer', 'Amy Schumer']"," super viceral What was the last comedy that you watched that made you really laugh? Got it not really Yes it is Frozen two Do you like movies also, not animation? Yes I do Comedy Hello, my name is Bernie, would you like a recommendation on a movie. If so, please tell me what type of movies you enjoy. Ok Do you like Amy Schumer? Sure would Ok, I understand. When you are watching standup do you like viceral comedy or clean comedy Would you enjoy a standup show? one moment please, while i look for something you may enjoy. That is a great animation show that is rated for all audiences. Yes I love great animation shows"
330,"['Gangs of New York', 'Netflix', 'The Irishman']"," who doesn't? Great, enjoy watching The Irishman! The Jimmy Hoffa story from the film is really interesting. Also, it is a Martin Scorcese film, starring Robert De Niro and Al Pacino. Nice. Thanks. Are you interested in watching The Irishman on Netflix? Oh. I hate Scorcese usually, but I'll give it a shot. I think it looks really interesting. It's about the intersection of organized crime and politics. sounds good What is the most recent drama film that you have seen? Cool! Do you like Tom Hanks movies in general? drama is good he'snot ba forrest gump what era? What is your favorite movie genre? I agree. I highly recommend it. good. u? Do you like watching recent movies? Hi, how are you doing? it's on my list but haven't watched it yet sounds interesting The 1960s and 1970s"
331,"['The Rainbow', 'sci-fi', 'Somewhere', 'Most Wanted', 'Bohemian Rhapsody', 'Judy', 'actors', 'The Martian', 'Ford v Ferrari']"," I also saw JUDY. It was ok It's a little about her biography. Do you know if she does her own singing in the film or do they dub Judy Garland's voice in? I know its better if you like the actors in it This isn't sci-fi, but did you see Bohemian Rhapsody? I really liked that film. Matt Damon and Christian Bale. We saw it at an IMax. My husband is a sports fan. I didn't think I would like it, but I am so glad I went. I've never heard of that movie, can you tell me more about it? We just saw Ford verses Ferrari. That was awsome! I didn't know that! What actors and actresses are in the film? No, I did not. I don't really like Matt Damon very much. Ford wanted to make a sports car in order to be competitive with other car companies. Did you see Martian? Yes it is. You might enjoy that one. What movies do you like? Do you have any other recommendations for movies that don't have Matt Damon? I like really good sci fi movies, but I do not like action movies. Is that the one with Renee Zellweger? That sounds like something that I would like! Thank you for the recommendation! I did see it! I also thought it was very good. In addition to sci fi I also enjoy biographies and history. Yes she did her own singing You are so welcome. You won't be sorry! Oh wow! Did she do a good job?"
332,"['Hostiles', 'Christian Bale', 'Captive State']"," I have, that one was pretty disappointing. Pretty boring if you ask me, which is a shame because the casting wasn't bad. Could you recommend something else? A good western would be nice, or perhaps something science fiction. Do you have any favorite actors/actresses I should look for? Clint Eastwood, John Wayne, Christian Bale, Kurt Russell, I'm not super picky though. Sorry, never been a fan of John Cusack. Maybe something else? Perhaps a science fiction film. Glad to hear it. I'm here to help you find a new movie. What are you interested in lately? Hi! How is your day going? Never Grow Old is a newer western movie with one of my favorite actors, John Cusack. Would you like more information about it? So far so good, thanks for asking! Have you seen Hostiles with Christian Bale?"
333,"['Joaquin Phoenix', 'Joker', 'Good Will Hunting']"," I'm sitting here in my living room trying to think of a new movie to watch. I really like high intensity and motivational movies. Some of the movies I recently seen have been THE JOKER and UNCUT GEMS. The intensity was super high, almost giving me anxiety, but I still loved it. What have you been up to? Really? What are some of your favorite movies that you've seen? I loved THE JOKER! Joaquin Phoenix is the man! Hello! Hey there! Right?! He did an excellent job. I was also really surprised by Adam Sandler's performance, he did a great job as well."
334,"['podcast', 'suspense/thriller', 'Gothika', 'Werewolf', 'Queen of the Damned', 'Vampire Hunter D', 'movie', 'Halle Berry', 'suspense film', 'Vampire', 'Supernatural', 'Midsommer', 'popular', 'Phantasm', 'Cursed', 'special effects']"," I have heard of Phantasm but haven't seen, it, but it is on the list. Love the so terrible its funny type! Just went to a midnight showing of The Room, and got to meet Tommy Wiseau!! If you love those types of movies, that is definitely one of the best. I did see Midsommar! It was sooooooo interesting. Very twisty, very weird, right up my odd alley. LOL. Phantasm just jumped to the top of my list today!! That's awesome! The first one is very 70's old horror flick. I watched it as a teenager, and still remember how so-bad-but-funny it was even ten years later. I'm so glad we could find a good one for you to add to the list! I love supernatural, vampires are always good too. One of my favorites of all time was 30 days of night. I also like movies that can surprise me. Ones that I think I know the tropes, and something crazy comes out of left field Haha I can certainly see finding good humor in The Grudge. If you like so terrible its funny types of films, Phantasm was definitely one of my favorites. Definitely over the top, and the special effects were just absolutely icing on the cake. It's a great one if you're into the older films as well. Another I can recommend that was a bit more on the serious side... have you seen Midsommer? Thats awesome! What kind of horror movies do you like? Something more suspense/thriller? Vampire/Supernatural? Gore? 30 days of night is definitely a good one. What are some other horror movies you've enjoyed recently? I saw Fantasy Island just the other day. It was surprisingly good, even though the reviews have said otherwise. I actually run a horror movie podcast for international horror movies. Just recently we spoke about Under the Shadow, a horror movie on Netflix. Amazing movie. I wanted to go see Brahms 2, but I'm worried it is going to be a waste of money. I also saw The Grudge (the one that came out this year). It was so bad it was funny. lol Interesting. Another one I haven't seen that piques my curiosity. Yes please, what is the suspense film that you think I would like? I will say, I was a fan of Abraham Lincoln: Vampire Hunter as well. I didn't think I'd like it as I am, honestly, very reserved about gore in horror films and am not a fan. But I found that one to be absolutely tasteful, not overly done at all for what they had in it! May I also recommend more of a suspense film that is a little more on the side of ghosts and hauntings than vampires? I appreciate it! I definitely appreciate the recommendation and I can't wait to watch it! Thank you so much! I enjoyed the chat! Hey there! I hear you're interested in movies. May I ask what kind of movies you enjoy? I'm definitely interested in a few more horro-esque recommendations! Im always up for expanding the list. I'm going to a horror film fest in June, and I want to expand my library quickly:-) Have you ever seen Cursed? Christina Ricci, werewolf movie! Not too great ratings, but I love how they did the werewolves in that. I wish they'd have used similar styles to translate to other popular films! Absolutely! I was looking for a reccomendation acutally. I LOVE horror moview For sure! Are there any other kinds of movies you'd like recommendations for? I have a few more horror-esque flicks as well if you're interested! I haven't!! I think I remember seeing commercials for it, or maybe it was an article online. I think Ive learned I cant trust ratings. That is going on my list to watch tonight too! Im curious to see what you mean about the werewolves. That's something that is always such a hit or miss for me. I do love the werewolves in What We Do In The Shadows though! Two great recommendations!! Awesome!! Thanks so much! It's definitely a little cheesy, but for the time of release on the movie, I feel like the werewolf CGI was pretty well done. And, I gotta throw this one out there for you as well, have you seen Queen of the Damned? Those vampires are something else for sure! I have!! Its one of my favorites:-) I see we have very similar tastes. Any other vampire ones you like?"
335,"['Train', 'Seth Rogan', 'Long Shot', 'romantic comedy', 'Silver Linings Playbook', 'Jennifer', 'Charlize Theron', 'Amy Schumer']"," Hello partner Well, I know a little bit about them from the late 2000's Hey there. What do you know about romantic comedies, but not too shallow? Not yet. I do not like her too much. I loved Silver Linings tho. Oh something current sounds great. I am okay with dry humor, in fact all types of humor. I like good acting and stories with meaning too. Alll wrapped up in one. The last romantic comedy I saw was Train Wreck with Amy Schumer. Have you seen that movie?"
336,['Midsommar']," I would an horror movie, something to get my adrenaline pumping Let's see. Do you like any of the Purge movies? Not really, but I've seen them What kind of movies do you like? Hello Hi, I am looking for a movie trailer. Do you like traditional horror movies, ie - chainsaw, masks. Or do you like 'new' horror movies that are more psychologically draining... would prefer the later"
337,['Wings of Life']," I think so. What kind of movies do you like? Hi there, how are you? Have you seen any good movies lately? What did you like about them? I liked it because it enlightened me about things in the natural world that I already did not know. I like learning more about nature and the world around me. Then I can hopefully apply it to my daily life and life a more fulfilled and interesting experience. I like documentaries, films that reallly offer up a unique worldview and new perspective on things. The more out there and interesting the better. What is a documentary that you have watched recently that you enjoyed? No, I don't think so. What kinds of films has he directed? Good afternoon! Have you watched any more from the director of Louis Schwartzberg? I saw one called Fantastic Fungi all about mushrooms, mould, and spores. I also like films that focus on the arts."
338,"['Paranormal Activity', 'Annabelle', ""Child's Play"", 'Spiral', 'Brahms: The Boy II', 'Chris Rock']"," Those are pretty fantastic. I watched the first two alone in my bedroom with the lights off. They had me looking around the room thinking stuff was moving. The 3rd one I saw in the theater which I think took away from the scariness a bit. Something new. I've seen almost all the classics. Exorcism was ok. I recently watched Annabelle, and it was great. Annabelle is great! There is something about possessed dolls that really just kind of freaks people out isn't there? When I was a kid, I was terrified by the Child's Play movies. Did you like those too? Hello! I am hear to help you pick a movie. I liked the Paranormal Activity movies too. They made a bunch of sequels, and they were all reasonably good and not just a box office cash grab. Sounds great. Thanks for the recommendation. I like spooky movies. What should I watch that has demonic possession themes? Yeah. I know there are three Annabelle movies, should I watch the next two? Certainly, but I have another in mind that is coming out tomorrow. Have you heard of Brahms: The Boy II? Spooky movies are a great choice! Are you looking for something old or something new? It is my pleasure. This particular one also got 6 nominations. I am sure that sequel is going to....kill....in the box office. No, I haven't. Is it a sequel? Ok, I will get that queued up for you. In the meantime, here's the Plot: An American nanny is shocked that her new English family's boy is actually a life-sized doll. After she violates a list of strict rules, disturbing events make her believe that the doll is really alive. What are some of your favorites? Yes that sounds fun. While more horror than scary, I liked the original Saw. The sequels and the plotline just got so convoluted and weird. It is and looks crazy scary. Definitely watch the original first as it will set you up to be terrified in this new one. Would you like to view the trailer for the original?"
339,['Joker']," HI I'm looking for new movies to watch Great, I'm always down to watch a movie. Any recommendations? Hey!"
340,"['movies', 'Inglourious Basterds', 'American Sniper', 'Pearl Harbor', 'Saving Private Ryan', 'movie', 'Midway', 'action']"," I am also really into war movies that depict American History. How much do you know about Pearl Harbor? thanks for the help... that could b e a good option... any other recommendations? I am into funny movies... do you have any suggestions of trailers to check out so I can go to the movies next week? I would recommend seeing Midway if you are into action/war movies. The movie does a great job at illustrating the attack on our country and Pearl Harbor. The actors in the movie are amazing as well. Perfect movie for a night out. ok I would go see an action film I am into funny movies also, which is why I am suggesting maybe seeing a different genre. I have been to the movies recently and the comedy movie selection is poor. I would not want to see you waste your money. What about action movies? good how are you? My favorite movie ever is Saving Private Ryan. Midway is very much like this movie. ok great I love that movies as well. I accept your recommendation to see Midway. Good Morning, How are things going with you today? Awesome. What is your favorite movie of all time? Doing great. Watched a lot of great movies this weekend. Which ones are some of your favorites? for sound engineering I loved Fury... though a bit too violent... I also loved Inglorious Basterds but that was not really historically accurate ;-) ok I think that sounds great... what is your favorite movie ever?"
341,"['horror comedy', 'Shaun of the Dead', 'comical', ""Jennifer's Body"", '3 Backyards', 'Evil']"," I remember the trailers for it but I'm not sure that I saw it. What is it about? have you seen Tucker and Dale vs. Evil Jennifer's Body? I love Shaun of the Dead. I like horror comedies. what genre are you in the mood for? I have and i love it as well. Any other horror comedies? That is a very good cast. Did you really enjoy it? I love movies and I am looking for recommendations. You will love Shaun of the Dead. It is a horror comedy with comical gore. It is a very unique movie. There are not many like it! are you interested in a movie? That sounds very interesting. I can't remember the cast. Do you know who they are? it is about a newly possessed high school cheerleader turns into a succubus who specializes in killing her male classmates. Absolutely. If you have other horror comedy recommendations I would love to hear them. I like Shaun of the Dead, Dead Alive, Dead Snow, House, etc. The cast are Megan Fox, Amanda Seyfried, Johnny Simmons, Adam Brody. An amazing cast! Well my favorite is probably horror but I don't care for gore. I also like drama but rarely romantic dramas. I really like gangster and war movies as drama examples. I also enjoy comedies but it's so hard to recommend a comedy. I see that you have already seen that movie and you enjoyed it. Would you like another recommendation?"
342,"['Prime', 'Amazon', 'Krampus', 'Die Hard', 'animated', 'action', 'The Nightmare Before Christmas']"," I am doing great . I like you style! Are there any xmas horror or action movies that you have seen in the past that you really liked? What was your experience with Follow? Hey! How are you doing today? I'm in the mood for Christmas horror movies and action. Nice! Krampus and Christmas Nightmare are some of my favorites.A nightmare before Christmas is a solid Disney classic if you have never seen it. If you want scarier (that's not animated), go for Jack Frost. For action (and christmas) If you haven't seen Die Hard (there is also a second one), you should for sure start there. It's a classic and one of my favorites all time. Sweet! I hope you enjoy them as much as I do. Don't get too scared ;) I saw it a few years ago back when it first came out and watch it every December. I think I enjoy it because the characters are relatable and the story line has some normalcy to it, but it's high intensity and is in the spirit of Christmas time so also adds to the effect. I will definately watch a Nightmare Before Christmas and Jack Frost. I have already seen die hard. Yet I must leave since I am about to go out and pick up some DVD's. Yes. Hobbes&Shaw, Krampus, a Christmas Nightmare, and Silent Night Deadly Night. Nice! Looking for some good movie recommendations? Yes I am. If you watch it every December, then I am really excited to see it since for me Christmas is all about the movies . My personal favorite is Follow. I love the cast and it's definitely a good thriller that keeps your heart racing for a majority. Oh I will enjoy them since this is how I celebrate christmas. Do you have any other Christmas horror movie reccomendations? Well you have come to the right place. What type of movies are you in the mood to see?"
343,"['Lady Bird', 'Saoirse Ronan', 'Little Women: LA', ""Ocean's 8"", 'Awkwafina']"," Yes please! I'm here to help you look for a movie trailer. Do you know what genres you like? Hm, let's see. I saw Blinded By The Light and that was pretty enjoyable. Hi! I saw that as well and really enjoyed it. My family is really into Bruce Springsteen. Are you interested in seeing movies with songs or different ones? Then you will love this movie. It is centered around a 17 year old girl and her relationships with friends and family. Would you like to watch this movie trailer? That sounds great! I'd love to see it. I have not seen it yet, but I have heard of it and it does sound like something I would enjoy. Hello! I would reccomend you watch the movie Lady Bird. It stars Saoirse Ronan and was nominated for 5 Oscars. It's a coming of age movie taking place in the early 2000's. I remember you said you like indie and drama. This movie also has a bit of comedy. Do you also enjoy comedies? Great! Yes, I am looking for a movie recommendation. I typically enjoy dramas or indie films. Yes, I enjoy some comedies. Mostly comedies with female leads. I enjoy movies with and without songs. I also saw The Farewell starring Awkwafina recently, which was good as well. That's great! What was the last one you saw that you liked? I've seen the trailers for that movie, it looks really good. I really liked Awkwafina's work in Ocean's 8. Have you seen Book Smart? I think it might be a movie you enjoy"
344,"['Bohemian Rhapsody', 'Forrest Gump', 'Whiplash', 'Oscar', 'Benedict Cumberbatch', 'biographical films', 'J.K.', 'The Imitation Game']"," Yes, Benedict Cumberbatch was nominated for an Oscar for his role in the movie but did not win. Well there are many different types, what type of movie trailers would you normally like to see? One of my favorite movies is Forrest Gump, it is similar to The Green Book and won 6 Oscars! Bohemian Rhapsody is a recent move that is also criticallly acclaimed. Do you want to see a smiliar move to The Green Book, or something different? That sounds good.I also enjoy biographies. Do you have any other movies that you would also recommend? I do love that movie. Do you have any suggestions of a more recent movie? I love movies with a good story. I don't like horror or bloody movies. I enjoy comedies, dramas, and indies. I really enjoyed The Green Book. Such a good friendship story. Okay, what was the last movie you watched that you enjoyed? Great! What type of movies would you recommend? Hi, I'm here to help you look for a movie trailer. That sounds perfect! I do remember that the star was up for an Oscar? It sounds like something I would love to see. Do you have any other favorites that you have watched? Since you like biographical films, I watched the Imitation Game and it was an engaging story, with a very good cast. I am open to seeing almost anything that isn't grusome."
345,"['Outlander', 'series', 'Gravity', 'The Aftermath', 'Sorry Angel']"," definitely a new movie Yes, have another suggestion? Okay, drama. Do you like comedy or action or romance kinda dramas? Okay, how about a movie? Gotcha. What about any good movies you watched recently? Any good drama? True, and either sap or happy Have you seen Sorry Angel? Okay, do you usually prefer new movies or classics? Have not heard of that, I'll watch it Good, u? I'm doing good! I'm here to help you find a movie to watch. Not quite a movie but I'd definitely suggest checking out the Outlander series at some point. Ah, a good pretty face is always nice. Do you want a sappy movie or a happy movie? Have you seen Gravity? Any favorite actors or filmmakers? Romance or action Hey, how are you? Matt Damon, Christian Bale The Lighthouse and Once upon a time in Hollywood"
346,"['Billy Madison', 'Happy Gilmore']"," Would you like a recommendation for a movie similar to that one? I also prefer old Adam Sandler movies. They were more light hearted and real! It is a great movie. A classic Adam Sandler movie. It almost makes you forget all the recent ones he has tried to do! Hey! I'm great, how about you? I am in the mood for a movie trailer. Hello! How are you? Are you a Will Ferrell fan as well? I love his comedies and they can be kind of similar to old Sandler movies! I also really like Adam Sandler, but not his newer movies. I liked that it was just silly funny. There was really nothing that I didn't like. I really don't like him. I know most people do, but he's not my jam. I kind of want an Adam Sandler one again. I watched Billy Madison while I was visiting my sister over Thanksgiving. Have you ever seen Happy Gilmore? It is from the same time period as Billy Madison and is a laugh riot! Totally! Thanks, again! I love that movie! Adam Sandler and Chris Farley are the best! What did you like about it and what did you not like about it? Yes, I really enjoyed it, so I would love something similar. Great! I love movies! What is the latest movie you have watched? YES, that is perfect!! I saw parts of it once at a party, but I couldn't remember what it was called! Thank you, I accept that recommendation! I'm sure I will! I've been trying to remember the name for a long time! No problem! I always enjoy recommending movies. I hope you enjoy it!"
347,['Joker']," i have seen a few, have you seen any you really liked? Yeah I've heard of it. I thought about going to see that one but I wasn't sure. I really wanted to see Knives Out. What did you like about the Joker? That sounds interesting Yeah, I saw Ford v Ferrari last weekend, but I'm looking to see something tonight. Do you have any recommendations? So not a lot of fight scenes and big action movie stuff? hello how are you today? Didn't he do the Hangover? Thats a much different film! I like more plot driven movies, not really into action movies i am also well no there are not very many fight scenes, it is mostly just about the joker himself ok, i saw one i really thought was amazing recently, have you heard of the movie Joker? Have you seen any good movies lately? joaquin phoenix is perfect for the role and does an amazing job acting in it. yes the director was Todd Phillips. what type of movies do you usually like to watch? Great, how are you? even though it was a super hero character, it was nothing like a super hero movie. it was gritty a real. it is the story of how the joker became the joker because of many bad events over his life. Yes, he is a good actor. Do you know who directed it?"
348,"['Blade Runner', 'District 9', 'Aliens', 'The Matrix', 'Arrival', 'action', 'Ex Machina', 'sci fi']"," Yeah the 3D robots were done very well and the story line kept me super involved. I'm curious if you have also watched The Arrival? It's an alien one Do you enjoy the aliens that help humans or try to kill the human species, or even both? lol I do enjoy Robot movies, if the special effects are up to par for them. Hi I'm looking for a great SCI FI Action movie Me too! You have the good aliens and then the bad aliens that throw you through a ringer haha. What's your opinion on Robot movies? Pacific rim It really didn't get me, I preferred something like skyline or Battle for los angles Both are great and I really enjoy. Also I especially enjoy if they have both in the movie as well.:) Both appeal to me a great deal! Hello, I am here to help you looking for a movie trailer I would bet you've already seen District 9 yeah? lol Yes I am, he does some good movies. I'm looking for something new though in that style of movie. I agree, I really loved the ending to Pacific Rim. The characters were great. Are you familiar with the direct Guillermo Del Toro? What did you like about it, the characters, the story lines, what stood out to you? Oh yeah, interesting plot but I was hoping for more action. Did you watch Ex Machina? Yes I really enjoyed the movie. hmmm what's one of your favorite sci fi movies you've watched? The characters, actors, and story line was really enjoyable. The special effects were great as well. Are you a fan of creatures and aliens then?"
349,"['friends', 'cast', 'humor', 'Monty Python and the Holy Grail', 'Bridesmaids', 'comedy']"," Yes, I would! I'm sorry. They actually don't have that mo Great! Would you like to watch the movie trailer for What We Do In The Shadows? Ok! Do you have other recommendations for me? I like comedies! What is that about? Hm, I'm not sure. Any other comedies? I really like Monty Python and the Holy Grail. Hey! I'm gonna try to find a movie trailer that you will enjoy for you. What kind of movies do you like? It's about an English spy organization that recruits a street kid into it's high level, very competitive program. It's engaging, action packed but funny at the same time. It's a great film. How about the Kingsman? I think you might enjoy that. That film sounds really interesting! Who directed it? Great! Me too. One of my favorite movies is called What We do In the Shadows. It has similar humor to Monty Python and the Holy Grail. The cast is from New Zealand instead of England though. Yes, I have watched the show! I really enjoy it. It has two directors. Jemaine Clement and Taika Waititi. It has the same people that were in the show Flight of the Concords. Did you happen to watch that show? Awesome! I love comedies. What is one of your favorite comedies?"
350,"['crime drama', 'drama', 'San Andreas', 'Manhattan Night', 'action', 'thriller']"," Can I help you with a suggestion of a movie? Well, there is titanic on TV right now It was filmed in 2015 and won awards for outstanding visual effects! hmm, sounds interesting, I have not seen this movie before, do you have any other reccomendation? Hi! sure, what movie do you plan to reccomend? what is it about? It tells the dramatic story of the aftermath of an earthquake when was it made? and what kind of award did it win? Ok I see. Would you say the plot is most important, or filming style, or other details? I think the overall feel of a movie, so while the plot is important, how the movie tell the story of the plot and the manner in which is present the story is what makes a good or bad movie I see. What's the last movie you saw? I have one film in mind that's won several awards and has an exciting plot, with drama and action. It's called San Andreas hi Well I'm wondering what kinds of films you like? I like good films, lol, on genre I am very open minded as long as the film is well made. I prefer comedies, action, adventures, good dramas and scyfy work for me too"
